"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2017","14,679.91","14,298.22","14,745.10","14,296.54","723.62M","2.69%"
"12/03/2017","14,294.73","14,600.79","14,726.86","14,277.47","924.70M","-1.97%"
"11/26/2017","14,582.22","14,099.50","14,655.01","14,096.73","956.05M","3.37%"
"11/19/2017","14,106.17","13,847.36","14,106.17","13,675.30","902.83M","1.87%"
"11/12/2017","13,847.36","14,354.89","14,424.52","13,847.35","1.03B","-3.50%"
"11/05/2017","14,350.14","14,314.25","14,362.68","13,964.58","1.56B","0.22%"
"10/29/2017","14,319.34","13,957.29","14,386.22","13,957.24","1.84B","2.61%"
"10/22/2017","13,955.47","13,703.48","14,049.38","13,689.52","1.53B","1.76%"
"10/15/2017","13,713.62","13,893.66","13,932.43","13,411.00","1.59B","-1.28%"
"10/08/2017","13,891.71","13,909.65","14,122.10","13,780.37","1.68B","0.07%"
"10/01/2017","13,881.97","13,896.60","14,102.00","13,811.07","1.13B","-0.05%"
"09/24/2017","13,888.51","13,698.74","13,894.84","13,598.96","2.27B","1.41%"
"09/17/2017","13,695.33","13,635.23","13,784.36","13,571.55","1.43B","0.62%"
"09/10/2017","13,610.61","13,432.69","13,639.75","13,411.15","2.02B","1.32%"
"09/03/2017","13,432.69","13,417.46","13,461.64","13,317.26","927.14M","0.13%"
"08/27/2017","13,415.77","12,926.54","13,425.33","12,899.48","759.86M","3.79%"
"08/20/2017","12,926.40","13,119.44","13,169.67","12,925.90","652.34M","-1.47%"
"08/13/2017","13,119.44","13,462.38","13,462.63","13,102.19","814.37M","-2.55%"
"08/06/2017","13,462.38","13,420.14","13,715.61","13,420.14","1.12B","0.37%"
"07/30/2017","13,413.12","13,609.22","13,609.22","13,352.79","1.03B","-1.44%"
"07/23/2017","13,609.22","13,712.21","13,828.05","13,609.22","1.01B","-0.77%"
"07/16/2017","13,715.06","13,825.01","13,970.22","13,670.82","1.46B","-0.78%"
"07/09/2017","13,822.59","13,369.88","13,864.31","13,260.52","1.69B","3.39%"
"07/02/2017","13,369.88","13,396.68","13,518.76","13,312.19","946.27M","-0.19%"
"06/25/2017","13,395.81","13,482.56","13,486.00","13,394.75","153.79M","-0.16%"
"06/18/2017","13,417.14","13,482.72","13,532.13","13,323.94","870.16M","-0.46%"
"06/11/2017","13,478.75","13,685.29","13,690.73","13,460.00","1.74B","-1.50%"
"06/04/2017","13,683.66","13,468.39","13,692.73","13,462.88","1.12B","1.61%"
"05/28/2017","13,467.29","13,094.42","13,482.30","13,091.62","1.41B","2.85%"
"05/21/2017","13,094.42","12,952.38","13,107.24","12,648.24","1.63B","1.10%"
